deprotection	FG	incompatible
0.0.0_NO_REACTION_FROM_Null_AND_Null	NO_FG	0
3.3.2_BROMO_SONOGASHIRA_COUPLING_FROM_ARYLBROMIDE_AND_Null	NO_FG	0
3.3.4_IODO_SONOGASHIRA_COUPLING_FROM_calc_ARYLIODIDE_AND_Null	NO_FG	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ALIPHATIC_BOC_AND_Null	NO_FG	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ANILINE_BOC_AND_Null	NO_FG	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ALIPHATIC_BOC_AND_Null	NO_FG	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ANILINE_BOC_AND_Null	NO_FG	0
6.1.6_N_FMOC_DEPROTECTION_FROM_SEC_FMOC_AND_Null	NO_FG	0
6.1.6_N_FMOC_DEPROTECTION_FROM_TERC_FMOC_AND_Null	NO_FG	0
7.1.1_NITRO_TO_AMINO_FROM_calc_NITRO_AND_Null	NO_FG	0
9.7.61_ESTER_HYDROLYSIS_FROM_ESTERS_METHYL_ETHYL_AND_Null	NO_FG	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_PRIMARY_AND_Null	NO_FG	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_SECONDARY_AND_Null	NO_FG	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_primary_AND_Null	NO_FG	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_secondary_AND_Null	NO_FG	0
X.X.X_Esters_methyl_ethyl_WITH_Amines_FROM_aldehydes_AND_Null	NO_FG	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_primary_AND_Null	NO_FG	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_secondary_AND_Null	NO_FG	0
X.X.X_O_nitro_sec_aniline_WITH_Carboxylic_acid_FROM_amines_aliphatic_primary_AND_Null	NO_FG	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_primary_AND_Null	NO_FG	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_secondary_AND_Null	NO_FG	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	aldehyde	0
3.3.2_BROMO_SONOGASHIRA_COUPLING_FROM_ARYLBROMIDE_AND_Null	aldehyde	0
3.3.4_IODO_SONOGASHIRA_COUPLING_FROM_calc_ARYLIODIDE_AND_Null	aldehyde	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ALIPHATIC_BOC_AND_Null	aldehyde	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ANILINE_BOC_AND_Null	aldehyde	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ALIPHATIC_BOC_AND_Null	aldehyde	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ANILINE_BOC_AND_Null	aldehyde	0
6.1.6_N_FMOC_DEPROTECTION_FROM_SEC_FMOC_AND_Null	aldehyde	0
6.1.6_N_FMOC_DEPROTECTION_FROM_TERC_FMOC_AND_Null	aldehyde	0
7.1.1_NITRO_TO_AMINO_FROM_calc_NITRO_AND_Null	aldehyde	1
9.7.61_ESTER_HYDROLYSIS_FROM_ESTERS_METHYL_ETHYL_AND_Null	aldehyde	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_PRIMARY_AND_Null	aldehyde	1
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_SECONDARY_AND_Null	aldehyde	1
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_primary_AND_Null	aldehyde	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_secondary_AND_Null	aldehyde	0
X.X.X_Esters_methyl_ethyl_WITH_Amines_FROM_aldehydes_AND_Null	aldehyde	1
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_primary_AND_Null	aldehyde	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_secondary_AND_Null	aldehyde	0
X.X.X_O_nitro_sec_aniline_WITH_Carboxylic_acid_FROM_amines_aliphatic_primary_AND_Null	aldehyde	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_primary_AND_Null	aldehyde	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_secondary_AND_Null	aldehyde	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	alkynes_terminal	0
3.3.2_BROMO_SONOGASHIRA_COUPLING_FROM_ARYLBROMIDE_AND_Null	alkynes_terminal	1
3.3.4_IODO_SONOGASHIRA_COUPLING_FROM_calc_ARYLIODIDE_AND_Null	alkynes_terminal	1
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ALIPHATIC_BOC_AND_Null	alkynes_terminal	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ANILINE_BOC_AND_Null	alkynes_terminal	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ALIPHATIC_BOC_AND_Null	alkynes_terminal	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ANILINE_BOC_AND_Null	alkynes_terminal	0
6.1.6_N_FMOC_DEPROTECTION_FROM_SEC_FMOC_AND_Null	alkynes_terminal	0
6.1.6_N_FMOC_DEPROTECTION_FROM_TERC_FMOC_AND_Null	alkynes_terminal	0
7.1.1_NITRO_TO_AMINO_FROM_calc_NITRO_AND_Null	alkynes_terminal	0
9.7.61_ESTER_HYDROLYSIS_FROM_ESTERS_METHYL_ETHYL_AND_Null	alkynes_terminal	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_PRIMARY_AND_Null	alkynes_terminal	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_SECONDARY_AND_Null	alkynes_terminal	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_primary_AND_Null	alkynes_terminal	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_secondary_AND_Null	alkynes_terminal	0
X.X.X_Esters_methyl_ethyl_WITH_Amines_FROM_aldehydes_AND_Null	alkynes_terminal	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_primary_AND_Null	alkynes_terminal	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_secondary_AND_Null	alkynes_terminal	0
X.X.X_O_nitro_sec_aniline_WITH_Carboxylic_acid_FROM_amines_aliphatic_primary_AND_Null	alkynes_terminal	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_primary_AND_Null	alkynes_terminal	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_secondary_AND_Null	alkynes_terminal	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	amines_aliphatic_secondary	0
3.3.2_BROMO_SONOGASHIRA_COUPLING_FROM_ARYLBROMIDE_AND_Null	amines_aliphatic_secondary	0
3.3.4_IODO_SONOGASHIRA_COUPLING_FROM_calc_ARYLIODIDE_AND_Null	amines_aliphatic_secondary	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ALIPHATIC_BOC_AND_Null	amines_aliphatic_secondary	1
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ANILINE_BOC_AND_Null	amines_aliphatic_secondary	1
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ALIPHATIC_BOC_AND_Null	amines_aliphatic_secondary	1
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ANILINE_BOC_AND_Null	amines_aliphatic_secondary	1
6.1.6_N_FMOC_DEPROTECTION_FROM_SEC_FMOC_AND_Null	amines_aliphatic_secondary	1
6.1.6_N_FMOC_DEPROTECTION_FROM_TERC_FMOC_AND_Null	amines_aliphatic_secondary	1
7.1.1_NITRO_TO_AMINO_FROM_calc_NITRO_AND_Null	amines_aliphatic_secondary	0
9.7.61_ESTER_HYDROLYSIS_FROM_ESTERS_METHYL_ETHYL_AND_Null	amines_aliphatic_secondary	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_PRIMARY_AND_Null	amines_aliphatic_secondary	1
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_SECONDARY_AND_Null	amines_aliphatic_secondary	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_primary_AND_Null	amines_aliphatic_secondary	1
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_secondary_AND_Null	amines_aliphatic_secondary	0
X.X.X_Esters_methyl_ethyl_WITH_Amines_FROM_aldehydes_AND_Null	amines_aliphatic_secondary	1
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_primary_AND_Null	amines_aliphatic_secondary	1
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_secondary_AND_Null	amines_aliphatic_secondary	0
X.X.X_O_nitro_sec_aniline_WITH_Carboxylic_acid_FROM_amines_aliphatic_primary_AND_Null	amines_aliphatic_secondary	1
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_primary_AND_Null	amines_aliphatic_secondary	1
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_secondary_AND_Null	amines_aliphatic_secondary	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	azide	0
3.3.2_BROMO_SONOGASHIRA_COUPLING_FROM_ARYLBROMIDE_AND_Null	azide	0
3.3.4_IODO_SONOGASHIRA_COUPLING_FROM_calc_ARYLIODIDE_AND_Null	azide	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ALIPHATIC_BOC_AND_Null	azide	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ANILINE_BOC_AND_Null	azide	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ALIPHATIC_BOC_AND_Null	azide	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ANILINE_BOC_AND_Null	azide	0
6.1.6_N_FMOC_DEPROTECTION_FROM_SEC_FMOC_AND_Null	azide	0
6.1.6_N_FMOC_DEPROTECTION_FROM_TERC_FMOC_AND_Null	azide	0
7.1.1_NITRO_TO_AMINO_FROM_calc_NITRO_AND_Null	azide	1
9.7.61_ESTER_HYDROLYSIS_FROM_ESTERS_METHYL_ETHYL_AND_Null	azide	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_PRIMARY_AND_Null	azide	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_SECONDARY_AND_Null	azide	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_primary_AND_Null	azide	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_secondary_AND_Null	azide	0
X.X.X_Esters_methyl_ethyl_WITH_Amines_FROM_aldehydes_AND_Null	azide	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_primary_AND_Null	azide	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_secondary_AND_Null	azide	0
X.X.X_O_nitro_sec_aniline_WITH_Carboxylic_acid_FROM_amines_aliphatic_primary_AND_Null	azide	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_primary_AND_Null	azide	0
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_secondary_AND_Null	azide	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	carboxylic_acids	0
3.3.2_BROMO_SONOGASHIRA_COUPLING_FROM_ARYLBROMIDE_AND_Null	carboxylic_acids	0
3.3.4_IODO_SONOGASHIRA_COUPLING_FROM_calc_ARYLIODIDE_AND_Null	carboxylic_acids	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ALIPHATIC_BOC_AND_Null	carboxylic_acids	0
6.1.1_N_BOC_DEPROTECTION_FROM_SEC_ANILINE_BOC_AND_Null	carboxylic_acids	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ALIPHATIC_BOC_AND_Null	carboxylic_acids	0
6.1.1_N_BOC_DEPROTECTION_FROM_TERT_ANILINE_BOC_AND_Null	carboxylic_acids	0
6.1.6_N_FMOC_DEPROTECTION_FROM_SEC_FMOC_AND_Null	carboxylic_acids	0
6.1.6_N_FMOC_DEPROTECTION_FROM_TERC_FMOC_AND_Null	carboxylic_acids	0
7.1.1_NITRO_TO_AMINO_FROM_calc_NITRO_AND_Null	carboxylic_acids	0
9.7.61_ESTER_HYDROLYSIS_FROM_ESTERS_METHYL_ETHYL_AND_Null	carboxylic_acids	1
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_PRIMARY_AND_Null	carboxylic_acids	0
9.7.8_AMINO_TO_GUANIDINO_FROM_AMINES_ALIPHATIC_SECONDARY_AND_Null	carboxylic_acids	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_primary_AND_Null	carboxylic_acids	0
X.X.X_Triazine_Dichloro_FROM_amines_aliphatic_secondary_AND_Null	carboxylic_acids	0
X.X.X_Esters_methyl_ethyl_WITH_Amines_FROM_aldehydes_AND_Null	carboxylic_acids	0
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_primary_AND_Null	carboxylic_acids	1
X.X.X_Nitro_fluoro_FROM_amines_aliphatic_secondary_AND_Null	carboxylic_acids	1
X.X.X_O_nitro_sec_aniline_WITH_Carboxylic_acid_FROM_amines_aliphatic_primary_AND_Null	carboxylic_acids	1
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_primary_AND_Null	carboxylic_acids	1
X.X.X_O_iodo_aniline_FROM_amines_aliphatic_secondary_AND_Null	carboxylic_acids	1
0.0.0_NO_REACTION_FROM_Null_AND_Null	thiols	0
