FG1	FG2	incompatible
NO_FG	NO_FG	0
NO_FG	ALDEHYDES	0
NO_FG	ALKYNES_TERMINAL	0
NO_FG	AMINES_ALIPHATIC_SECONDARY	0
NO_FG	AZIDE	0
NO_FG	CARBOXYLIC_ACIDS	0
NO_FG	THIOLS	0
NO_FG	calc_THIOPHENOLS	0
NO_FG	calc_NITRO	0
NO_FG	calc_PHENOLS	0
NO_FG	SEC_FMOC	0
NO_FG	SULFONYL_CHLORIDES	0
NO_FG	BORONICS_AROMATIC	0
NO_FG	TERT_FMOC	0
NO_FG	ESTERS_METHYL_ETHYL	0
NO_FG	NITRO_FLUORO	0
NO_FG	SEC_ANILINE_BOC	0
NO_FG	TERT_ANILINE_BOC	0
NO_FG	O_NITRO_SEC_ANILINE	0
NO_FG	calc_ARYLHALIDE	0
NO_FG	AMINES_ALIPHATIC_PRIMARY	0
NO_FG	calc_AMINES_AROMATIC_PRIMARY	0
NO_FG	ISOCYANATES	0
NO_FG	ISOTHIOCYANATES	0
NO_FG	O_IODO_ANILINE	0
NO_FG	HYDRAZINES_PRIMARY	0
NO_FG	A_H_KETONES	0
NO_FG	KETONES_A_BROMO	0
NO_FG	YNONES	0
NO_FG	AMIDINES_PRIMARY	0
NO_FG	AMIDINES_SECONDARY	0
NO_FG	GUANIDINES_SECONDARY_PRIMARY	0
NO_FG	GUANIDINES_SECONDARY_SECONDARY	0
NO_FG	GUANIDINES_TERTIARY_PRIMARY	0
NO_FG	GUANIDINES_TERTIARY_SECONDARY	0
NO_FG	calc_NAS_ELECTROPHILE	0
NO_FG	O_AMINO_PHENOLS	0
NO_FG	O_AMINO_THIOPHENOLS	0
NO_FG	O_IODO_SEC_ANILINE	0
NO_FG	TRIAZINE_DICHLORO	0
NO_FG	TRIAZINE_MONOCHLORO	0
NO_FG	ARMINES_AROMATIC_SECONDARY_1	0
NO_FG	calc_SEC_ALIPHATIC_BOC	0
ALDEHYDES	NO_FG	0
ALDEHYDES	ALDEHYDES	1
ALDEHYDES	ALKYNES_TERMINAL	0
ALDEHYDES	AMINES_ALIPHATIC_SECONDARY	0
ALDEHYDES	AZIDE	0
ALDEHYDES	CARBOXYLIC_ACIDS	0
ALDEHYDES	THIOLS	0
ALDEHYDES	calc_THIOPHENOLS	0
ALDEHYDES	calc_NITRO	0
ALDEHYDES	calc_PHENOLS	0
ALDEHYDES	SEC_FMOC	0
ALDEHYDES	SULFONYL_CHLORIDES	0
ALDEHYDES	BORONICS_AROMATIC	0
ALDEHYDES	TERT_FMOC	0
ALDEHYDES	ESTERS_METHYL_ETHYL	0
ALDEHYDES	NITRO_FLUORO	0
ALDEHYDES	SEC_ANILINE_BOC	0
ALDEHYDES	TERT_ANILINE_BOC	0
ALDEHYDES	O_NITRO_SEC_ANILINE	0
ALDEHYDES	calc_ARYLHALIDE	0
ALDEHYDES	AMINES_ALIPHATIC_PRIMARY	0
ALDEHYDES	calc_AMINES_AROMATIC_PRIMARY	0
ALDEHYDES	ISOCYANATES	0
ALDEHYDES	ISOTHIOCYANATES	0
ALDEHYDES	O_IODO_ANILINE	0
ALDEHYDES	HYDRAZINES_PRIMARY	0
ALDEHYDES	A_H_KETONES	0
ALDEHYDES	KETONES_A_BROMO	0
