FG1	FG2	incompatible
NO_FG	NO_FG	0
NO_FG	aldehyde	0
NO_FG	alkynes_terminal	0
NO_FG	amines_aliphatic_secondary	0
NO_FG	azide	0
NO_FG	carboxylic_acids	0
NO_FG	thiols	0
NO_FG	calc_THIOPHENOLS	0
NO_FG	calc_NITRO	0
NO_FG	calc_PHENOLS	0
NO_FG	sec_fmoc	0
NO_FG	sulphonyl_chlorides	0
NO_FG	boronics_aromatic	0
NO_FG	tert_fmoc	0
NO_FG	ester_methyl_ethyl	0
NO_FG	nitro_fluoro	0
NO_FG	sec_aniline_boc	0
NO_FG	tert_aniline_boc	0
NO_FG	o_nitro_sec_aniline	0
NO_FG	calc_ARYLHALIDE	0
NO_FG	amines-aliphatic-primary	0
NO_FG	calc_AMINES_AROMATIC_PRIMARY	0
NO_FG	isocyanates	0
NO_FG	isothiocyanates	0
NO_FG	o_iodo_aniline	0
NO_FG	hydrazines_primary	0
NO_FG	nitrile	0
NO_FG	ketones_a_bromo	0
NO_FG	ynones	0
NO_FG	amidines_primary	0
NO_FG	amidines_secondary	0
NO_FG	guanidines_secondary_primary	0
NO_FG	guanidines_secondary_secondary	0
NO_FG	guanidines_tertiary_primary	0
NO_FG	guanidines_tertiary_secondary	0
NO_FG	calc_NAS_ELECTROPHILE	0
NO_FG	o_amino_phenols	0
NO_FG	o_amino_thiophenols	0
NO_FG	o_iodo_sec_aniline	0
NO_FG	triazine_dichloro	0
NO_FG	triazine_chloro	0
NO_FG	calc_AMINES_AROMATIC_SECONDARY_1	0
NO_FG	sec_boc	0
NO_FG	tert_boc	0
NO_FG	alcohols_primary	0
aldehyde	NO_FG	0
aldehyde	aldehyde	1
aldehyde	alkynes_terminal	0
aldehyde	amines_aliphatic_secondary	0
aldehyde	azide	0
aldehyde	carboxylic_acids	0
aldehyde	thiols	0
aldehyde	calc_THIOPHENOLS	0
aldehyde	calc_NITRO	0
aldehyde	calc_PHENOLS	0
aldehyde	sec_fmoc	0
aldehyde	sulphonyl_chlorides	0
aldehyde	boronics_aromatic	0
aldehyde	tert_fmoc	0
aldehyde	ester_methyl_ethyl	0
aldehyde	nitro_fluoro	0
aldehyde	sec_aniline_boc	0
aldehyde	tert_aniline_boc	0
aldehyde	o_nitro_sec_aniline	0
aldehyde	calc_ARYLHALIDE	0
aldehyde	amines-aliphatic-primary	0
aldehyde	calc_AMINES_AROMATIC_PRIMARY	0
aldehyde	isocyanates	0
aldehyde	isothiocyanates	0
aldehyde	o_iodo_aniline	0
aldehyde	hydrazines_primary	1
aldehyde	nitrile	0
aldehyde	ketones_a_bromo	0
aldehyde	ynones	0
aldehyde	amidines_primary	0
aldehyde	amidines_secondary	0
aldehyde	guanidines_secondary_primary	0
aldehyde	guanidines_secondary_secondary	0
aldehyde	guanidines_tertiary_primary	0
aldehyde	guanidines_tertiary_secondary	0
aldehyde	calc_NAS_ELECTROPHILE	0
aldehyde	o_amino_phenols	0
aldehyde	o_amino_thiophenols	0
aldehyde	o_iodo_sec_aniline	0
aldehyde	triazine_dichloro	0
aldehyde	triazine_chloro	0
aldehyde	calc_AMINES_AROMATIC_SECONDARY_1	0
aldehyde	sec_boc	0
aldehyde	tert_boc	0
aldehyde	alcohols_primary	0
alkynes_terminal	NO_FG	0
alkynes_terminal	aldehyde	0
alkynes_terminal	alkynes_terminal	1
alkynes_terminal	amines_aliphatic_secondary	0
alkynes_terminal	azide	0
alkynes_terminal	carboxylic_acids	0
alkynes_terminal	thiols	0
alkynes_terminal	calc_THIOPHENOLS	0
alkynes_terminal	calc_NITRO	0
alkynes_terminal	calc_PHENOLS	0
alkynes_terminal	sec_fmoc	0
alkynes_terminal	sulphonyl_chlorides	0
alkynes_terminal	boronics_aromatic	0
alkynes_terminal	tert_fmoc	0
alkynes_terminal	ester_methyl_ethyl	0
alkynes_terminal	nitro_fluoro	0
alkynes_terminal	sec_aniline_boc	0
alkynes_terminal	tert_aniline_boc	0
alkynes_terminal	o_nitro_sec_aniline	0
alkynes_terminal	calc_ARYLHALIDE	0
alkynes_terminal	amines-aliphatic-primary	0
