Reaction	FG	onDNAincompatible	offDNAincompatible
0.0.0_NO_REACTION_FROM_Null_AND_Null	NO_FG	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	ALDEHYDES	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	ALKYNES_TERMINAL	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	AMINES_ALIPHATIC_SECONDARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	AZIDE	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	CARBOXYLIC_ACIDS	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	THIOLS	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_THIOPHENOLS	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_NITRO	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_PHENOLS	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	SEC_FMOC	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	SULFONYL_CHLORIDES	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	BORONICS_AROMATIC	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	TERT_FMOC	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	ESTERS_METHYL_ETHYL	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	NITRO_FLUORO	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	SEC_ANILINE_BOC	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	TERT_ANILINE_BOC	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	O_NITRO_SEC_ANILINE	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_ARYLHALIDE	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	AMINES_ALIPHATIC_PRIMARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	calc_AMINES_AROMATIC_PRIMARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	ISOCYANATES	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	ISOTHIOCYANATES	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	O_IODO_ANILINE	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	HYDRAZINES_PRIMARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	A_H_KETONES	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	KETONES_A_BROMO	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	YNONES	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	AMIDINES_PRIMARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	AMIDINES_SECONDARY	0	0
0.0.0_NO_REACTION_FROM_Null_AND_Null	GUANIDINES_SECONDARY_PRIMARY	0	0
