reaction	FG	incompatible
0.0.0_NO_REACTION_FROM_Null_AND_Null	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_PRIMARY	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_ALIPHATIC_SECONDARY	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_calc_AMINES_AROMATIC_PRIMARY	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_AMINES_AROMATIC_SECONDARY_1	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_ALDEHYDES_AND_O_IODO_ANILINE	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_AMINES_ALIPHATIC_SECONDARY_AND_ALDEHYDES	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_calc_AMINES_AROMATIC_PRIMARY_AND_ALDEHYDES	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_AMINES_AROMATIC_SECONDARY_1_AND_ALDEHYDES	NO_FG	0
1.2.1_ALDEHYDE_REDUCTIVE_AMINATION_FROM_O_IODO_ANILINE_AND_ALDEHYDES	NO_FG	0
1.3.3_IODO_BUCHWALD_HARTWIG_AMINATION_FROM_calc_ARYHALIDE_AND_calc_AMINES_AROMATIC_PRIMARY	NO_FG	0
1.3.8_FLUORO_N_ARYLATION_FROM_AMINES_ALIPHATIC_PRIMARY_AND_NITRO_FLUORO	NO_FG	0
1.3.8_FLUORO_N_ARYLATION_FROM_AMINES_ALIPHATIC_SECONDARY_AND_NITRO_FLUORO	NO_FG	0
1.3.8_FLUORO_N_ARYLATION_FROM_calc_AMINES_AROMATIC_PRIMARY_AND_NITRO_FLUORO	NO_FG	0
1.3.8_FLUORO_N_ARYLATION_FROM_NITRO_FLUORO_AND_AMINES_ALIPHATIC_PRIMARY	NO_FG	0
1.3.8_FLUORO_N_ARYLATION_FROM_NITRO_FLUORO_AND_AMINES_ALIPHATIC_SECONDARY	NO_FG	0
1.3.8_FLUORO_N_ARYLATION_FROM_NITRO_FLUORO_AND_calc_AMINES_AROMATIC_PRIMARY	NO_FG	0
1.7.11_SNAR_ETHER_SYNTHESIS_FROM_calc_PHENOLS_AND_calc_NAS_ELECTROPHILE	NO_FG	0
1.8.5_THIOETHER_SYNTHESIS_FROM_calc_THIOPHENOLS_AND_calc_NAS_ELECTROPHILE	NO_FG	0
1.8.5_THIOETHER_SYNTHESIS_FROM_THIOLS_AND_calc_NAS_ELECTROPHILE	NO_FG	0
X.X.X_SNAR_ANILINE_SYNTHESIS_FROM_AMINES_ALIPHATIC_PRIMARY_AND_calc_NAS_ELECTROPHILE	NO_FG	0
X.X.X_SNAR_ANILINE_SYNTHESIS_FROM_AMINES_ALIPHATIC_SECONDARY_AND_calc_NAS_ELECTROPHILE	NO_FG	0
1.7.11_SNAR_ETHER_SYNTHESIS_FROM_calc_NAS_ELECTROPHILE_AND_calc_PHENOLS	NO_FG	0
1.8.5_THIOETHER_SYNTHESIS_FROM_calc_NAS_ELECTROPHILE_AND_calc_THIOPHENOLS	NO_FG	0
1.8.5_THIOETHER_SYNTHESIS_FROM_calc_NAS_ELECTROPHILE_AND_THIOLS	NO_FG	0
